bin,n,weighted_n,predicted,observed,model
1,302,6168914.317034004,730.4181463469805,783.574921581736,two_part
2,276,6151945.413751998,1381.0159952857243,1111.638507314592,two_part
3,236,6132055.299147,1866.3823368260869,1549.2316839203518,two_part
4,235,6174576.881226996,2337.1991499711203,1635.9458264688412,two_part
5,222,6150333.5529390015,2886.116240272353,2430.148632420204,two_part
6,237,6150376.427966998,3774.0147268046594,4723.544387400105,two_part
7,266,6134062.265647998,5054.304806784974,4075.852549344713,two_part
8,263,6149289.319920002,7028.288398791712,7096.13449284284,two_part
9,279,6145349.523833995,10584.995424319328,11732.130064337041,two_part
10,292,6150271.686292002,118572.11571763334,27135.35684807634,two_part
1,294,6151468.541367002,934.5855382833977,1099.2592706525413,tweedie
2,274,6151995.8161550015,1650.030821982235,1508.10467730297,tweedie
3,249,6186458.608224995,2164.10846619684,1663.1228088296023,tweedie
4,225,6122130.599558999,2654.3097531793524,2042.8861339980317,tweedie
5,231,6151100.174102001,3233.6672777300655,2333.2423637344796,tweedie
6,237,6162009.020425999,4053.6436851803214,4595.943807165744,tweedie
7,250,6133885.043785999,5066.565990261314,3683.4004459493394,tweedie
8,281,6156613.211339001,6719.936228461582,7026.319464798269,tweedie
9,278,6161258.102435993,9688.889224631004,11679.585900526012,tweedie
10,289,6130255.570365001,36837.58986351747,26683.47410935283,tweedie
1,299,6163026.853549006,326.6722313633017,955.5517676281822,log_ols
2,296,6153545.184291996,976.282252531354,1647.7025166194617,log_ols
3,273,6203957.238767999,1667.010174360164,1688.8388094444238,log_ols
4,226,6092231.630309999,2443.193399603186,1977.0683213541474,log_ols
5,227,6145795.664706995,3366.8067397225514,2536.9968239639093,log_ols
6,225,6152891.988355999,4821.5355617533605,3056.4407346248695,log_ols
7,243,6157231.580454003,7170.518835596304,5350.537811972497,log_ols
8,264,6171848.972789999,11925.684727674827,7108.610440475249,log_ols
9,274,6119670.574405001,27349.068860515286,10246.02699780969,log_ols
10,281,6146975.0001289975,10816259.312795248,27725.62591699211,log_ols
1,285,6153760.210982006,16.502922603730273,622.8652553046638,quantile_median
2,251,6149940.960907996,150.11677739131216,991.2380854550976,quantile_median
3,259,6159860.162606,363.01537691977745,1221.999333614552,quantile_median
4,242,6164564.618156997,650.8021356647982,1870.8396588997314,quantile_median
5,235,6186335.753445998,1095.8280677754985,3191.9461312462236,quantile_median
6,255,6114264.145355004,1736.2530739818337,3983.7217349832226,quantile_median
7,253,6134809.140379998,2740.5261882500904,4401.488229729165,quantile_median
8,263,6144173.507976998,4305.722110754798,8263.03640312186,quantile_median
9,276,6173161.445969998,7076.799213023424,11859.246931644613,quantile_median
10,289,6126304.741979001,16638.32650799527,25924.77131707877,quantile_median
1,304,6166049.6837920025,158.94168731502535,525.634582599156,xgboost_raw
2,250,6152357.321296999,907.4735658392623,1213.927406299249,xgboost_raw
3,237,6134989.641100996,1493.1735698625812,1128.0572563619858,xgboost_raw
4,241,6171610.416173997,2127.105540292815,2287.526258190195,xgboost_raw
5,246,6150156.142386,3070.7547114664612,3254.747563052502,xgboost_raw
6,239,6153063.542173007,4277.803339773236,2979.6121139257984,xgboost_raw
7,248,6132281.593948996,5730.213030408534,4432.6916060718895,xgboost_raw
8,272,6168715.069076998,7773.403535346204,7695.6138297029465,xgboost_raw
9,273,6143197.929365997,11472.501409137516,12556.447529105973,xgboost_raw
10,298,6134753.348445002,24710.702946312733,26245.060202785644,xgboost_raw
1,266,6164547.478350006,8.657641020638142,587.360544319181,xgboost_log
2,264,6166589.065158999,47.0620611256636,1026.1447215831074,xgboost_log
3,260,6123609.169329,130.6326280549951,1445.0368407068793,xgboost_log
4,261,6154154.946052,298.9554838629214,1804.5831687179045,xgboost_log
5,246,6145963.039358998,599.9673555443521,3420.044628265236,xgboost_log
6,225,6160084.521825996,1104.8139547620253,3014.4993822162064,xgboost_log
7,241,6147050.044109,1898.4087832230466,5373.230263939204,xgboost_log
8,278,6153763.364794001,3145.8660142107333,7166.322915636896,xgboost_log
9,277,6143856.675468993,6054.7235277974805,12882.98193289624,xgboost_log
10,290,6147556.383313002,15381.114548141915,25558.840701958114,xgboost_log
