grouping_variable,level,n,coverage,mean_width,lower_miscoverage,upper_miscoverage
age_group,0-17,619,0.894756393795488,8004.987591744803,0.03453110725750362,0.07071249894700819
age_group,18-34,538,0.9018989227066575,12345.513901375285,0.04287060251325664,0.05523047478008562
age_group,35-49,464,0.8980493320042496,19954.051597259386,0.05664051974567212,0.045310148250078564
age_group,50-64,474,0.8684520299160549,29292.36276061609,0.07715246959847259,0.054395500485472176
age_group,65+,513,0.9266360714995466,39683.112639449646,0.023104485028977162,0.05025944347147604
race_eth,1,590,0.913988053487785,13186.998356723181,0.04321282244149752,0.042799124070717134
race_eth,2,1450,0.8979827698295161,23615.66676625933,0.04269722670345406,0.05932000346703101
race_eth,3,358,0.8644669963150766,16495.78846941942,0.0737925293719096,0.06174047431301354
race_eth,4,115,0.923076580947951,15442.736883182619,0.036748276661400237,0.04017514239064866
race_eth,5,95,0.8712095676464598,17159.304004230828,0.065350956163817,0.06343947618972275
insurance,1,1599,0.8929973555685333,20094.827629874515,0.04783701676869342,0.05916562766277352
insurance,2,816,0.9129574364442599,24768.445759967963,0.04684488544083739,0.04019767811490279
insurance,3,193,0.8827325635434364,6955.044320293053,0.037486062650080844,0.07978137380648233
income_cat,1,418,0.8828341803374303,19674.018617885744,0.04819046794063681,0.06897535172193338
income_cat,2,122,0.8054041537701917,15279.553863138062,0.13688783747536729,0.05770800875444103
income_cat,3,364,0.9157171134420578,17762.55560806189,0.034199136375662874,0.05008375018227937
income_cat,4,758,0.906862268669368,19897.016405626073,0.03874041165459886,0.05439731967603242
income_cat,5,946,0.8972234834928088,21995.519197938964,0.04786351202438866,0.05491300448280275
chronic_group,0,1557,0.9008691042151601,11361.068779745445,0.03920102935490972,0.059929866429930104
chronic_group,1,432,0.8971198608325464,24526.21287632114,0.057551203484017946,0.045328935683435864
chronic_group,2,326,0.8804458664378461,37266.009769835255,0.06908953877372057,0.050464594788433854
chronic_group,3+,293,0.8937201923332212,51353.893007118524,0.052084380313513576,0.054195427353265165
