Feature,Gain,Cover,Frequency
y1_exp,0.4377512873178143,0.2596368684303019,0.20816824138982018
rx_count,0.15051940215297804,0.13878624353053706,0.14172508381590979
office_visits,0.11710206278742123,0.17757178610799457,0.15178299298994208
self_health,0.059977897318900464,0.06027754476241736,0.06857665345931119
chronic_count,0.05257310960688311,0.0733227836024337,0.07010057909174032
age,0.05237715575809984,0.10374242524599299,0.10667479427003962
total_income,0.03293298165844534,0.046724466404044304,0.07802499238037183
inpatient_discharges,0.023659310668234325,0.042242341142000726,0.03779335568424261
race_eth2,0.017974371038254295,5.04145491250744e-4,0.011277049679975617
er_visits,0.008810209007190092,0.026382571036503422,0.028345016763181956
region4,0.008707992257710576,0.0104634546107144,0.014020115818348064
sex1,0.005521276035210985,0.002692770905093273,0.009143553794574825
mental_health,0.0054280366254593005,0.009610774471179594,0.01341054556537641
income_cat5,0.00482086594922856,0.0021116074270648073,0.00731484303565986
insurance1,0.003949781192169744,0.016661863277855446,0.01097226455348979
region3,0.0030317608031424676,0.00776932795905305,0.008229198415117342
race_eth5,0.0027639918550847386,0.003844173344969498,0.0051813471502590676
insurance2,0.002084555152804175,6.668506317550213e-4,0.004571776897287412
race_eth3,0.0018453330706504868,9.751229780878564e-4,0.0027430661383724473
income_cat3,0.0018452076740379545,0.0051327456420501225,0.0048765620237732395
sex2,0.0015560362659671144,4.936411053270187e-5,0.0027430661383724473
region1,0.001500102000506431,0.0017722723324845669,0.0033526363913441025
region2,9.652926851530223e-4,0.005448553963546727,0.004266991770801585
income_cat1,7.628702639421476e-4,1.0833670777941312e-4,0.0015239256324291375
income_cat4,7.330673442888248e-4,0.0014900341171137873,0.0027430661383724473
race_eth4,4.735843844908328e-4,7.532874254065556e-4,0.0012191405059433099
income_cat2,3.3245912593155095e-4,0.001258284341836348,0.0012191405059433099
